tags,ids
"https://tproger.ru/tag/php/,https://tproger.ru/tag/for-amateurs/,https://tproger.ru/tag/design-patterns/,https://tproger.ru/tag/design-patterns-simple-words/",37368
https://tproger.ru/tag/partnered/,60884
"https://tproger.ru/tag/python/,https://tproger.ru/tag/for-beginners/,https://tproger.ru/tag/learn-programming/",31063
"https://tproger.ru/tag/for-amateurs/,https://tproger.ru/tag/learn-programming/",64147
"https://tproger.ru/tag/big-data/,https://tproger.ru/tag/python/",23096
https://tproger.ru/tag/for-beginners/,5278
"https://tproger.ru/tag/web/,https://tproger.ru/tag/partnered/",69007
"https://tproger.ru/tag/django/,https://tproger.ru/tag/python/,https://tproger.ru/tag/for-beginners/,https://tproger.ru/tag/learn-programming/",27662
https://tproger.ru/tag/algorithms/,5403
"https://tproger.ru/tag/learn-programming/,https://tproger.ru/tag/reactive/",29369
https://tproger.ru/tag/crypto/,7901
,9873
"https://tproger.ru/tag/javascript/,https://tproger.ru/tag/for-amateurs/",47482
"https://tproger.ru/tag/learn-programming/,https://tproger.ru/tag/programming-concepts/",25947
"https://tproger.ru/tag/python/,https://tproger.ru/tag/for-beginners/",29130
"https://tproger.ru/tag/javascript/,https://tproger.ru/tag/web/,https://tproger.ru/tag/for-beginners/,https://tproger.ru/tag/learn-programming/,https://tproger.ru/tag/partnered/",42457
"https://tproger.ru/tag/for-beginners/,https://tproger.ru/tag/courses/,https://tproger.ru/tag/learn-programming/,https://tproger.ru/tag/c-language/",28721
https://tproger.ru/tag/internet/,105220
"https://tproger.ru/tag/cpp/,https://tproger.ru/tag/gamedev/,https://tproger.ru/tag/unity/,https://tproger.ru/tag/for-beginners/,https://tproger.ru/tag/mobiledev/,https://tproger.ru/tag/courses/,https://tproger.ru/tag/gamedev/",109025
https://tproger.ru/tag/c-sharp/,25692
"https://tproger.ru/tag/git/,https://tproger.ru/tag/tools/",2239
https://tproger.ru/tag/devops/,77376
,85828
"https://tproger.ru/tag/c-sharp/,https://tproger.ru/tag/for-beginners/,https://tproger.ru/tag/oop/,https://tproger.ru/tag/oop-c-sharp/",14075
"https://tproger.ru/tag/machine-learning/,https://tproger.ru/tag/neural-network/,https://tproger.ru/tag/cheatsheets/",21784
https://tproger.ru/tag/security/,65525
"https://tproger.ru/tag/c-sharp/,https://tproger.ru/tag/cpp/,https://tproger.ru/tag/css/,https://tproger.ru/tag/java/,https://tproger.ru/tag/javascript/,https://tproger.ru/tag/linux/,https://tproger.ru/tag/perl/,https://tproger.ru/tag/php/,https://tproger.ru/tag/python/,https://tproger.ru/tag/windows/,https://tproger.ru/tag/web/,https://tproger.ru/tag/for-beginners/,https://tproger.ru/tag/cheatsheets/,https://tproger.ru/tag/programming-languages/",19676
,106041
"https://tproger.ru/tag/java/,https://tproger.ru/tag/javascript/,https://tproger.ru/tag/jquery/,https://tproger.ru/tag/mysql/,https://tproger.ru/tag/php/,https://tproger.ru/tag/python/,https://tproger.ru/tag/c-language/",10996
"https://tproger.ru/tag/java/,https://tproger.ru/tag/learn-programming/",11622
"https://tproger.ru/tag/github/,https://tproger.ru/tag/programming-languages/",98967
"https://tproger.ru/tag/python/,https://tproger.ru/tag/for-beginners/,https://tproger.ru/tag/parsing/,https://tproger.ru/tag/regexp/",6785
"https://tproger.ru/tag/python/,https://tproger.ru/tag/tools/",19049
https://tproger.ru/tag/learn-programming/,13289
"https://tproger.ru/tag/telegram/,https://tproger.ru/tag/tools/",68401
"https://tproger.ru/tag/google/,https://tproger.ru/tag/open-source/,https://tproger.ru/tag/operating-systems/",70752
"https://tproger.ru/tag/javascript/,https://tproger.ru/tag/web/,https://tproger.ru/tag/for-beginners/",16309
"https://tproger.ru/tag/for-beginners/,https://tproger.ru/tag/ai/,https://tproger.ru/tag/advices/",28318
"https://tproger.ru/tag/java/,https://tproger.ru/tag/for-beginners/",45527
"https://tproger.ru/tag/google/,https://tproger.ru/tag/machine-learning/",35085
"https://tproger.ru/tag/c-language/,https://tproger.ru/tag/cpp/,https://tproger.ru/tag/for-amateurs/,https://tproger.ru/tag/courses/,https://tproger.ru/tag/c-language/,https://tproger.ru/tag/asm/,https://tproger.ru/tag/c-language/",102988
,
"https://tproger.ru/tag/html/,https://tproger.ru/tag/javascript/",15909
"https://tproger.ru/tag/web/,https://tproger.ru/tag/for-beginners/",38022
"https://tproger.ru/tag/css/,https://tproger.ru/tag/web/,https://tproger.ru/tag/for-beginners/",28540
https://tproger.ru/tag/linux/,14106
"https://tproger.ru/tag/jetbrains/,https://tproger.ru/tag/poll/,https://tproger.ru/tag/programming-languages/",82350
https://tproger.ru/tag/partnered/,79146
"https://tproger.ru/tag/go/,https://tproger.ru/tag/web/,https://tproger.ru/tag/for-beginners/",46667
"https://tproger.ru/tag/android/,https://tproger.ru/tag/kotlin/,https://tproger.ru/tag/for-beginners/,https://tproger.ru/tag/mobiledev/",41097
"https://tproger.ru/tag/javascript/,https://tproger.ru/tag/web/,https://tproger.ru/tag/best-practice/",74358
"https://tproger.ru/tag/api/,https://tproger.ru/tag/java/",8127
"https://tproger.ru/tag/css/,https://tproger.ru/tag/web/,https://tproger.ru/tag/for-beginners/",40392
"https://tproger.ru/tag/javascript/,https://tproger.ru/tag/web/,https://tproger.ru/tag/for-amateurs/,https://tproger.ru/tag/tools/",44225
"https://tproger.ru/tag/for-beginners/,https://tproger.ru/tag/guest/,https://tproger.ru/tag/gamedev/",31842
"https://tproger.ru/tag/security/,https://tproger.ru/tag/partnered/",64890
,77714
https://tproger.ru/tag/sql/,90619
"https://tproger.ru/tag/for-motivation/,https://tproger.ru/tag/programming-languages/",38315
"https://tproger.ru/tag/hardware/,https://tproger.ru/tag/linux/,https://tproger.ru/tag/security/",88146
"https://tproger.ru/tag/javascript/,https://tproger.ru/tag/web/",103600
"https://tproger.ru/tag/python/,https://tproger.ru/tag/asinhronnoe-programmirovanie/,https://tproger.ru/tag/for-amateurs/",42048
"https://tproger.ru/tag/android/,https://tproger.ru/tag/security/,https://tproger.ru/tag/testing/",29722
https://tproger.ru/tag/brain-teasers/,508
,10719
https://tproger.ru/tag/sql/,90619
"https://tproger.ru/tag/veb-design/,https://tproger.ru/tag/web/,https://tproger.ru/tag/for-beginners/,https://tproger.ru/tag/learn-programming/",14104
"https://tproger.ru/tag/for-amateurs/,https://tproger.ru/tag/ai/,https://tproger.ru/tag/machine-learning/,https://tproger.ru/tag/courses/,https://tproger.ru/tag/for-beginners/,https://tproger.ru/tag/ai/,https://tproger.ru/tag/machine-learning/,https://tproger.ru/tag/courses/",110375
"https://tproger.ru/tag/git/,https://tproger.ru/tag/quick-start/,https://tproger.ru/tag/for-beginners/",297
https://tproger.ru/tag/programming-languages/,106064
,13615
,52773
https://tproger.ru/tag/brain-teasers/,9585
"https://tproger.ru/tag/docker/,https://tproger.ru/tag/for-amateurs/",36644
